,importance
lat,0.4303445779715823
lon,0.16330985973694745
sp,0.05686310814241375
wind_dir_cos,0.05582751122962416
d2m,0.054482632664746275
aod,0.049223380945980125
t2m,0.041691193249000544
v10,0.02790780638595333
wind_speed,0.02468762516703014
tp,0.0220617758482601
u10,0.02076640598048923
wind_dir_sin,0.016594778711224594
weekday_sin,0.013619058469047544
doy_sin,0.008941906395301121
doy_cos,0.008777472278605928
weekday_cos,0.004900906823793373
month_cos,0.0
month_sin,0.0
